Language_ID	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID	Closest_ISO369P3code	First_Year_Of_Documentation	Last_Year_Of_Documentation	aes	category	classification	level	med	medovertime	subclassification
ghan1246	Ghanongga-Lungga	NA	-8.09752	156.5625	ghan1246	NA	NA	aust1307	NA	NA	NA	NA	NA	Family	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/west2857/simb1260	family	NA	NA	((gano1234:1,kubo1244:1)ghan1242:1,lung1249:1)ghan1246:1;
simb1256	Simbo	Papunesia	-8.26947	156.541	simb1256	sbb	SB	aust1307	NA	sbb	NA	NA	1	Spoken_L1_Language	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/west2857/simb1260	language	2	['Peter A. Lanyon-Orgill. 1969. The Language of Eddystone Island (Western Solomon Islands). Stanley (Scotland): Scotland: The Crichton Press, Balmains, Stanley, Perthshire. 212pp. (Includes bibliographical references).', 'von der Gabelentz, Hans Conor. 1879. Die Melanesischen Sprachen: Vol 2. (Abhandlungen der Königlichen Sächsischen Gesellschaft der Wissenschaften, 7:1.) Leipzig: S.~Hirzel. 1-186pp.', 'Andrew Cheyne. 1852. A Description of Islands in the Western Pacific Ocean, North and South of the Equator: with sailing directions, together with productions, manners and customs of the natives, and vocabularies of their various languages. London: J. D. Potter. 222pp.']	simb1256:1;
sapo1252	Saposa-Tinputz	NA	-5.62862	154.82333333333332	sapo1252	NA	NA	aust1307	NA	NA	NA	NA	NA	Family	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/buka1262	family	NA	NA	((nucl1495:1,taio1240:1)sapo1253:1,((arav1240:1,kuru1306:1,rats1237:1)haho1237:1,(losi1240:1,meli1237:1,pets1237:1,taun1250:1,wain1246:1)teop1238:1,(vado1244:1,vado1245:1,vaen1237:1,vapo1239:1,vapo1240:1,vasu1237:1,vavo1237:1)tinp1237:1)tinp1238:1)sapo1252:1;
peta1245	Petats	Papunesia	-5.34068	154.593	peta1245	pex	PG	aust1307	NA	pex	NA	NA	2	Spoken_L1_Language	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/buka1262	language	3	['Allen, Jerry and Beaso, Matthew. 1975. Petats phonemes and orthography. In Richard Loving (ed.), Phonologies of five Austronesian languages, 45-70. Ukarumpa: Summer Institute of Linguistics.', 'George W. Grace. 1956. 1955-1956 Fieldnotes: Notebook 46 Savosavo. Ms.']	(hita1242:1,mats1242:1,sumo1242:1)peta1245:1;
hali1243	Haliaic	NA	-5.167174999999999	154.628	hali1243	NA	NA	aust1307	NA	NA	NA	NA	NA	Family	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/buka1262	family	NA	NA	((lont1237:1)hako1237:1,(hana1243:1,hang1262:1,sela1258:1,toul1237:1)hali1244:1)hali1243:1;
nucl1496	Nuclear Nehan	Papunesia	-4.56875	154.2	nucl1496	NA	NA	aust1307	neha1247	nsn	NA	NA	NA	Dialect	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/neha1247	dialect	NA	NA	nucl1496:1;
pini1246	Pinipel	Papunesia	-4.56875	154.2	pini1246	NA	NA	aust1307	neha1247	nsn	NA	NA	NA	Dialect	aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/neha1246/nucl1750/neha1247	dialect	NA	NA	pini1246:1;
niti1249	Nitita	Papunesia	-16.2	167.46	niti1249	NA	VU	aust1307	NA	NA	NA	NA	5	Spoken_L1_Language	aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/peri1262/sout3240/uncl1500/niti1250	language	4	['Alexandre François and Michael Franjieh and Sébastien Lacrampe and Stefan Schnell. 2015. The exceptional linguistic density of Vanuatu. In Alexandre François and Michael Franjieh and Sébastien Lacrampe and Stefan Schnell (eds.), The languages of Vanuatu: Unity and Diversity, 1-22. Canberra: Asia-Pacific Linguistics, The Australian National University.', 'Crowley, Terry. 2006. Introduction. In The Avava language of central Malakula (Vanuatu), 12-13. Canberra: Research School of Pacific and Asian Studies, Australian National University.']	niti1249:1;
vivt1234	Vivti	Papunesia	-16.28	167.5	vivt1234	NA	VU	aust1307	NA	NA	NA	NA	5	Spoken_L1_Language	aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/peri1262/sout3240/uncl1500/niti1250	language	4	['Alexandre François and Michael Franjieh and Sébastien Lacrampe and Stefan Schnell. 2015. The exceptional linguistic density of Vanuatu. In Alexandre François and Michael Franjieh and Sébastien Lacrampe and Stefan Schnell (eds.), The languages of Vanuatu: Unity and Diversity, 1-22. Canberra: Asia-Pacific Linguistics, The Australian National University.', 'Crowley, Terry. 2006. Introduction. In The Avava language of central Malakula (Vanuatu), 12-13. Canberra: Research School of Pacific and Asian Studies, Australian National University.']	vivt1234:1;
orie1237	Orierh	Papunesia	-16.5499	167.509	orie1237	NA	NA	aust1307	malf1237	mlx	NA	NA	NA	Dialect	aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/peri1262/sout3240/sout3197/malf1237	dialect	NA	NA	orie1237:1;
sons1243	Sonsorolese	Papunesia	5.328596	132.221282	sons1243	NA	NA	aust1307	sons1242	sov	NA	NA	NA	Dialect	aust1307/mala1545/east2712/ocea1241/micr1243/cent2276/west2844/pona1247/truk1243/west2855/sons1245/sons1242	dialect	NA	NA	sons1243:1;
pulo1240	Pulo Anna	Papunesia	5.328596	132.221282	pulo1240	NA	NA	aust1307	sons1242	sov	NA	NA	NA	Dialect	aust1307/mala1545/east2712/ocea1241/micr1243/cent2276/west2844/pona1247/truk1243/west2855/sons1245/sons1242	dialect	NA	NA	pulo1240:1;
pulu1244	Puluwatese-Pollapese	NA	7.3815778670000904	149.18726647200003	pulu1244	NA	NA	aust1307	NA	NA	NA	NA	NA	Family	aust1307/mala1545/east2712/ocea1241/micr1243/cent2276/west2844/pona1247/truk1243/nucl1749/cent2290/east2764	family	NA	NA	(poll1238:1,(nucl1478:1,pula1265:1,pulu1243:1)pulu1242:1)pulu1244:1;
mort1238	Mortlockese-Trukese	NA	7.316595770000049	151.856781446	mort1238	NA	NA	aust1307	NA	NA	NA	NA	NA	Family	aust1307/mala1545/east2712/ocea1241/micr1243/cent2276/west2844/pona1247/truk1243/nucl1749/cent2290/east2764	family	NA	NA	((east2441:1,fayi1237:1)chuu1238:1,(lowe1410:1,midm1238:1,uppe1422:1)mort1237:1)mort1238:1;
macr1274	Macro-Carolinian	NA	8.985500393000052	150.12427819100003	macr1274	NA	NA	aust1307	NA	NA	NA	NA	NA	Family	aust1307/mala1545/east2712/ocea1241/micr1243/cent2276/west2844/pona1247/truk1243/nucl1749/cent2290/sata1238	family	NA	NA	(caro1242:1,(paaf1237:1,tana1281:1)muri1261:1,namo1247:1)macr1274:1;
